contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_recipient,inp_amount0,inp_amount1,inp_sqrtpricex96,inp_liquidity,inp_tick
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382664,0x5d2b0302afb01ee42e6a3b0742343175a647ebee2e677fd0dc8a91e0bec789cc,298,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x7858E59e0C01EA06Df3aF3D20aC7B0003275D4Bf,-2002886915,585147044600905700,1.354313879353091e+33,51592216351822280,194939
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382665,0x84ff142c27620057f9f988625bdc13d6d709a501af1894eb4c3fe1260fbe27db,176,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xb97d317745047235262fc77F821A170e1190f2A9,-4197794550,1228916360387704600,1.3562001348700288e+33,51592216351822280,194967
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382671,0x6bb4dec58e5e3dfce55024081e68f33c68bd3c7197fda254b35046418f8542f0,60,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,10000000000,-2918995337291785700,1.351718346030806e+33,51658867751979060,194900
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382698,0x790cbed9ee01593f82570e4b4b4d9150824a06f507ea755d530aa52a04d90b6a,94,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,5558159787,-1614098394331957800,1.3492397121899717e+33,51592216351822280,194864
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382712,0xf295f6397cb1c6cf837990521f1235292af0e4d69aa34d5c66563ebe563c805c,70,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-516869484,150000000000000000,1.349469946188526e+33,51592216351822280,194867
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382734,0x6787e8c5585d2a72869bc2cfdcee3ffd890a5ea0ead81a8221a3d7bac881d756,234,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,9999999999,-2890508362135161300,1.3452640110675574e+33,55583555247933180,194805
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382734,0x9afa8be795d8ed055a21cf90e2c675b908c1e59a4d414fd6aafd1718f0d04642,260,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x22F9dCF4647084d6C31b2765F6910cd85C178C18,4065104378,-1169984740517882400,1.3436295886186708e+33,57016572885786630,194780
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382750,0xb95e4db104de7be59734bfd9b1d76fd8b30edc95f88c0ad5f9d3319980389109,120,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-69503050,20000000000000000,1.3436573659979222e+33,57016572885786630,194781
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382750,0x9fa2cce961bbec691c64d545580050d2cfa00282a441162590595f2f0b7867c1,265,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-694872484,200000000000000000,1.3439351397904355e+33,57016572885786630,194785
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382751,0xcfe63851d68b5d2ed43494de946f0ee51bbeeefabf72f75fed6e6f98151cb52f,55,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x11c82905eeC9e42B846f596252132165d763c651,-1850000000,532875162470985100,1.3446752335645142e+33,57016572885786630,194796
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382764,0x50d2202bae29d0cca47e3910cf554479443b88216ef27c130493885ce9683ac9,226,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xc4580c566202F5343883D0c6a378a9de245C9399,-1857113568,535518215878589600,1.3454318711520665e+33,55583555247933180,194807
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382782,0xbe7b59073dc3774d5e84c307e4d3793f1d959f1e6cd5a591cf49c04e4d1f74db,279,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-1004808264,290000000000000000,1.3458450271465534e+33,55583555247933180,194813
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382788,0x4d9a5cdc22173d5f2c9d7425fd8fd1a1ce0e4c41587930b63ffa86982f074069,315,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1389967178,-400713461196226800,1.3452738547722117e+33,55583555247933180,194805
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382798,0xbd759324a512aa1d4d287b8829741aaa159228d210348c22ad3314fc4997232b,139,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,6400000000,-1840742812460160000,1.342707123819963e+33,57016572885786630,194767
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382807,0x07b48ce0116a921ff5c295a3c9a92e4a1855d4f68b6faa7147194d247f5eb52d,213,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x6c6Bc977E13Df9b0de53b251522280BB72383700,-675719379,194211181512210900,1.3429768577021489e+33,57016572885786630,194771
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382809,0x1227fbc90d2acf558fba4bbe3afd58d735aa481168e8cccfb28293fa30d54053,141,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x138a4D566D1C5fc2C208E6e02e17A94A0e81A6e9,-1228000000,353144168607773950,1.3434673286772395e+33,57016572885786630,194778
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382811,0xd82a081d8a5cbc15c358e3857359be3df386da0cd49f4e3b74a95652eff9a309,383,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-6937699317,2000000000000000000,1.346279236698165e+33,55583555247933180,194820
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382819,0x6ec65340b0973474077d562ce28093bf4572979bf7121131c338bc33f2db2c96,281,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x6c6Bc977E13Df9b0de53b251522280BB72383700,-511544633,147801820830735840,1.3464898063818625e+33,55583555247933180,194823
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382843,0x0daf1324e2aa2bc326205653ae07dc50e133fb1e7a85242a118006720ff32df5,373,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,6534331163,-1882644297962733300,1.343834289703812e+33,57016572885786630,194783
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382849,0xa26b3e5678b23723e877a0ff5911d5df7f8a2f90b674bf278236c4fe135f4c53,191,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xD5c224e5Ed661d53a8B6d7EA39E4bc84a07B3F7d,-347380668,100000000000000000,1.3439731766000688e+33,57016572885786630,194785
